Conversation,Date
@Kirk Spano In order to get back to better there may be some resistance but that bit of resistance is far better for the future than the destruction we are seeing now.,2024-10-02
@boris gudonov Every one of these investment firms have a list. Maybe they're pitching their book. They want you to buy the price up! ;-),2024-10-02
"@golfcat1 we ought to control the border, but, we ought to be issuing enough work visas and green cards to offset Boomer retirements. That requires millions of immigrants per year.",2024-10-01
@santlo It won't. Markets will tank if the weird guys take over. They are a threat to democracy and capitalism.,2024-09-30
"@erbrown Don’t bet the farm on that. I don’t see cap gain tax on unrealized gains. For openers, evaluations are impossible, not only for the likes of farm land but also for 1000 shares of a publicly-traded stock, liquidity is a big deal. Then there’s the velue of the local family business. Not so fast.",2024-09-29
Stock Market at record levels under Biden-Harris …why will change  to Trump be better for market?,2024-09-29
What happens to this business model? The subscription plan has many guarantees 25 yr warranty on equipment 10 yr on roof penetration 24/7 monitoring Sunrun will replace equipment for life of contract. My question what happens in Bankruptcy? At current cash burn from now I see about one month left. Doesn't look good. Unless new money or consolidation .,2024-09-21
@stock_newbie Concur. Any idea on $MAXN? The company was stuck due to detention of its products.,2024-09-20
@Jianguo Xin Not a chance. $MAXN is a manufacturer of panels and not a solar system integrator / installer.  They'd have to build out a direct build org which is exactly what they spun out of when they split from Sunpower.,2024-09-20
Costco was a huge part of the business. This company will fail,2024-09-19
@slodon28 of course it will - just ask Milton Friedman. Spending leads to inflation (Why I sold any bond holding/ blended fund before 2022). Don't make this so hard.,2024-09-16
@TJ Burke Wont all of that NEW that government spending increase inflation?,2024-09-16
Spending will take off again under Harris. All her initiatives require new spending. It's objective reality and your lack of policy awareness or shallow partisanship does not change it.,2024-09-15
Communism or Capitalism. Hmmm Wonder which will be good for the stock market?,2024-09-15
It would be nice al least to know the reasoning behing certain picks.,2024-09-13
@TripLiars Can you name 1 Republican who supports this unrealized capital gains tax?,2024-09-12
@slodon28 I saw it on some news article and most high profile donors have assured it is not going to happen,2024-09-11
@Dr.Div63 Actually there was demand for gas since Trump put 16+ million people back to work from April 2020 to Jan. 2021.,2024-09-10
@Simon Chatham We need the record pumping oil numbers in order to refill the millions and millions of barrels of crude Biden sold China out of the US Defense Reserves.,2024-09-10
What about $GEO? They could help Trump operate his moves against the unliked foreigners.,2024-09-10
